decision_week,brand,finished_good_sku,sales_channel,lag_1,lag_4,roll_4,roll_8,sales_std_4,recent_trend,growth_ratio,lag1_vs_lag4,promo_flag,promo_uplift,week_sin,week_cos,brand_code,sku_type_code,channel_code,actual_4w
1,AquaMuse,AM_BASIC_TONER,Amazon_US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,0,0,0,930.0
1,AquaMuse,AM_BASIC_TONER,D2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,0,0,1,1509.0
1,AquaMuse,AM_BASIC_TONER,Domestic_Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,0,0,2,782.0
1,AquaMuse,AM_BASIC_TONER,Japan_Offline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.211,0.12053668025532305,0.992708874098054,0,0,3,671.0
1,AquaMuse,AM_BUNDLE_KIT,Amazon_US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,0,1,0,744.0
1,AquaMuse,AM_BUNDLE_KIT,D2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,0,1,1,1334.0
1,AquaMuse,AM_BUNDLE_KIT,Domestic_Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,0,1,2,763.0
1,AquaMuse,AM_BUNDLE_KIT,Japan_Offline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,0,1,3,379.0
1,GlowLab,GL_HERO_SERUM,Amazon_US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.376,0.12053668025532305,0.992708874098054,1,3,0,1903.0
1,GlowLab,GL_HERO_SERUM,D2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,1,3,1,2539.0
1,GlowLab,GL_HERO_SERUM,Domestic_Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.396,0.12053668025532305,0.992708874098054,1,3,2,1776.0
1,GlowLab,GL_HERO_SERUM,Japan_Offline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,1,3,3,1447.0
1,GlowLab,GL_NEW_AMPOULE,Amazon_US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,1,4,0,514.0
1,GlowLab,GL_NEW_AMPOULE,D2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,1,4,1,808.0
1,GlowLab,GL_NEW_AMPOULE,Domestic_Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,1,4,2,586.0
1,GlowLab,GL_NEW_AMPOULE,Japan_Offline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,1,4,3,474.0
1,PureLeaf,PL_GLOBAL_CREAM,Amazon_US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,2,2,0,767.0
1,PureLeaf,PL_GLOBAL_CREAM,D2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.452,0.12053668025532305,0.992708874098054,2,2,1,730.0
1,PureLeaf,PL_GLOBAL_CREAM,Domestic_Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,2,2,2,588.0
1,PureLeaf,PL_GLOBAL_CREAM,Japan_Offline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.174,0.12053668025532305,0.992708874098054,2,2,3,546.0
1,PureLeaf,PL_SLOW_MASK,Amazon_US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,2,5,0,37.0
1,PureLeaf,PL_SLOW_MASK,D2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.334,0.12053668025532305,0.992708874098054,2,5,1,236.0
1,PureLeaf,PL_SLOW_MASK,Domestic_Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,2,5,2,203.0
1,PureLeaf,PL_SLOW_MASK,Japan_Offline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12053668025532305,0.992708874098054,2,5,3,155.0
2,AquaMuse,AM_BASIC_TONER,Amazon_US,196.0,0.0,196.0,196.0,0.0,0.0,1.0,196.0,0,0.0,0.23931566428755774,0.970941817426052,0,0,0,932.0
2,AquaMuse,AM_BASIC_TONER,D2C,166.0,0.0,166.0,166.0,0.0,0.0,1.0,166.0,1,0.19,0.23931566428755774,0.970941817426052,0,0,1,1375.0
2,AquaMuse,AM_BASIC_TONER,Domestic_Retail,219.0,0.0,219.0,219.0,0.0,0.0,1.0,219.0,0,0.0,0.23931566428755774,0.970941817426052,0,0,2,832.0
2,AquaMuse,AM_BASIC_TONER,Japan_Offline,112.0,0.0,112.0,112.0,0.0,0.0,1.0,112.0,0,0.0,0.23931566428755774,0.970941817426052,0,0,3,656.0
2,AquaMuse,AM_BUNDLE_KIT,Amazon_US,100.0,0.0,100.0,100.0,0.0,0.0,1.0,100.0,0,0.0,0.23931566428755774,0.970941817426052,0,1,0,745.0
2,AquaMuse,AM_BUNDLE_KIT,D2C,99.0,0.0,99.0,99.0,0.0,0.0,1.0,99.0,1,0.655,0.23931566428755774,0.970941817426052,0,1,1,1115.0
2,AquaMuse,AM_BUNDLE_KIT,Domestic_Retail,207.0,0.0,207.0,207.0,0.0,0.0,1.0,207.0,0,0.0,0.23931566428755774,0.970941817426052,0,1,2,890.0
2,AquaMuse,AM_BUNDLE_KIT,Japan_Offline,82.0,0.0,82.0,82.0,0.0,0.0,1.0,82.0,1,0.781,0.23931566428755774,0.970941817426052,0,1,3,322.0
2,GlowLab,GL_HERO_SERUM,Amazon_US,551.0,0.0,551.0,551.0,0.0,0.0,1.0,551.0,0,0.0,0.23931566428755774,0.970941817426052,1,3,0,1877.0
2,GlowLab,GL_HERO_SERUM,D2C,651.0,0.0,651.0,651.0,0.0,0.0,1.0,651.0,1,0.532,0.23931566428755774,0.970941817426052,1,3,1,2098.0
2,GlowLab,GL_HERO_SERUM,Domestic_Retail,857.0,0.0,857.0,857.0,0.0,0.0,1.0,857.0,0,0.0,0.23931566428755774,0.970941817426052,1,3,2,1601.0
2,GlowLab,GL_HERO_SERUM,Japan_Offline,382.0,0.0,382.0,382.0,0.0,0.0,1.0,382.0,1,0.35,0.23931566428755774,0.970941817426052,1,3,3,1508.0
2,GlowLab,GL_NEW_AMPOULE,Amazon_US,77.0,0.0,77.0,77.0,0.0,0.0,1.0,77.0,1,0.299,0.23931566428755774,0.970941817426052,1,4,0,494.0
2,GlowLab,GL_NEW_AMPOULE,D2C,155.0,0.0,155.0,155.0,0.0,0.0,1.0,155.0,0,0.0,0.23931566428755774,0.970941817426052,1,4,1,871.0
2,GlowLab,GL_NEW_AMPOULE,Domestic_Retail,57.0,0.0,57.0,57.0,0.0,0.0,1.0,57.0,0,0.0,0.23931566428755774,0.970941817426052,1,4,2,853.0
2,GlowLab,GL_NEW_AMPOULE,Japan_Offline,58.0,0.0,58.0,58.0,0.0,0.0,1.0,58.0,0,0.0,0.23931566428755774,0.970941817426052,1,4,3,642.0
2,PureLeaf,PL_GLOBAL_CREAM,Amazon_US,159.0,0.0,159.0,159.0,0.0,0.0,1.0,159.0,0,0.0,0.23931566428755774,0.970941817426052,2,2,0,725.0
2,PureLeaf,PL_GLOBAL_CREAM,D2C,468.0,0.0,468.0,468.0,0.0,0.0,1.0,468.0,0,0.0,0.23931566428755774,0.970941817426052,2,2,1,723.0
2,PureLeaf,PL_GLOBAL_CREAM,Domestic_Retail,216.0,0.0,216.0,216.0,0.0,0.0,1.0,216.0,0,0.0,0.23931566428755774,0.970941817426052,2,2,2,664.0
2,PureLeaf,PL_GLOBAL_CREAM,Japan_Offline,139.0,0.0,139.0,139.0,0.0,0.0,1.0,139.0,0,0.0,0.23931566428755774,0.970941817426052,2,2,3,542.0
2,PureLeaf,PL_SLOW_MASK,Amazon_US,22.0,0.0,22.0,22.0,0.0,0.0,1.0,22.0,1,0.505,0.23931566428755774,0.970941817426052,2,5,0,65.0
